8000000.000,-75.402,-76.718,-74.136
8000000.000,-75.382,-76.786,-74.180
8000000.000,-75.343,-76.802,-74.247
8000000.000,-75.337,-76.800,-74.327
8000000.000,-75.362,-76.764,-74.347
8000000.000,-75.362,-76.757,-74.434
8000000.000,-75.397,-76.738,-74.446
8000000.000,-75.438,-76.721,-74.549
8000000.000,-75.496,-76.757,-74.600
8000000.000,-75.485,-76.718,-74.656
8000000.000,-75.518,-76.645,-74.743
8000000.000,-75.470,-76.600,-74.826
8000000.000,-75.416,-76.459,-74.872
8000000.000,-75.375,-76.378,-74.890
8000000.000,-75.303,-76.358,-74.888
8000000.000,-75.319,-76.316,-74.965
8000000.000,-75.285,-76.198,-74.964
8000000.000,-75.281,-76.106,-75.101
8000000.000,-75.312,-76.021,-75.176
8000000.000,-75.353,-75.945,-75.295
8000000.000,-75.357,-75.834,-75.372
8000000.000,-75.354,-75.758,-75.374
8000000.000,-75.422,-75.688,-75.413
8000000.000,-75.427,-75.572,-75.502
8000000.000,-75.432,-75.502,-75.555
8000000.000,-75.412,-75.381,-75.644
8000000.000,-75.389,-75.346,-75.643
8000000.000,-75.394,-75.335,-75.736
8000000.000,-75.432,-75.256,-75.859
8000000.000,-75.455,-75.116,-75.902
8000000.000,-75.436,-74.988,-76.000
8000000.000,-75.436,-74.868,-76.077
8000000.000,-75.375,-74.828,-76.221
8000000.000,-75.399,-74.698,-76.297
8000000.000,-75.421,-74.593,-76.351
8000000.000,-75.468,-74.510,-76.377
8000000.000,-75.461,-74.448,-76.500
8000000.000,-75.425,-74.407,-76.524
8000000.000,-75.445,-74.378,-76.581
8000000.000,-75.410,-74.406,-76.603
8000000.000,-75.377,-74.313,-76.688
8000000.000,-75.359,-74.182,-76.731
8000000.000,-75.353,-74.124,-76.747
8000000.000,-75.381,-73.986,-76.759
8000000.000,-75.364,-73.993,-76.749
8000000.000,-75.329,-73.943,-76.759
8000000.000,-75.355,-73.927,-76.837
8000000.000,-75.387,-73.831,-76.858
8000000.000,-75.372,-73.713,-76.837
8000000.000,-75.376,-73.636,-76.885
8000000.000,-75.397,-73.585,-76.867
8000000.000,-75.440,-73.602,-76.884
8000000.000,-75.518,-73.626,-76.840
