71;68;73;76;76;68;67;66;69;68;66;74;57;62;68;68;65;69;62;79;67;68;65;61;62;61;64;70;68;69;67;58;64;61;66;63;62;66;59;59;56;71;61;62;61;60;64;61;67;64;61;54;56;55;55;61;60;62;62;63;60;59;61;60;61;59;58;62;62;65;64;59;70;66;62;75;64;66;68;61;59;67;59;62;61;62;55;59;58;56;60;57;62;61;61;60;65;56;62;60;62;64;68;68;66;63;54;61;57;60;65;57;56;56;49;61;50;59;58;61;55;51;57;58;54;63;65;59;63;64;51;47;50;60;51;55;60;54;60;63;56;63;51;61;61;53;57;53;55;58;49;50;56;50;57;53;65;50;58;51;49;60;58;55;55;54;45;57;51;57;56;66;55;54;50;52;62;57;60;61;54;63;61;53;63;54;56;56;59;55;53;49;45;61;53;57;52;55;55;59;61;51;56;60;51;63;59;62;56;61;56;60;53;59;53;59;50;53;65;62;54;53;59;55;59;62;57;55;54;55;55;66;63;62;54;56;62;64;66;59;65;69;74;64;62;65;61;64;56;61;60;60;57;55;61;61;71;52;63;60;60;60;65;58;54;63;59;61;62;56;63;60;59;59;60;49;59;61;56;57;63;56;61;71;59;59;65;69;57;57;64;57;58;57;58;67;57;59;56;61;58;57;61;65;65;49;52;65;61;62;67;56;65;52;65;61;58;56;56;53;53;58;63;59;55;60;61;57;55;64;61;56;64;60;58;62;60;59;58;53;65;66;66;61;64;62;62;64;61;57;62;51;58;63;62;59;67;51;66;56;55;49;64;56;57;55;55;53;55;59;58;59;59;58;57;57;57;47;55;63;51;57;52;58;57;54;57;61;58;50;53;61;51;58;55;57;64;56;58;64;61;50;47;60;57;54;47;60;58;49;52;57;54;59;56;53;54;58;61;62;63;53;59;65;47;60;54;54;53;52;66;60;51;56;58;52;58;46;55;52;55;45;49;58;53;58;52;56;52;55;52;43;53;51;51;53;46;60;52;51;46;43;51;53;48;61;42;53;52;44;54;46;52;52;52;63;56;61;48;51;57;59;51;47;51;56;46;52;51;43;39;57;57;49;57;58;51;41;52;52;52;45;48;50;44;53;51;58;49;55;49;56;51;51;55;54;50;50;53;55;45;50;48;52;50;54;46;51;48;43;46;54;39;55;51;48;48;50;47;48;43;44;48;56;47;43;55;50;47;46;47;44;45;44;51;52;50;48;45;47;46;32;40;44;46;41;47;44;48;53;42;52;45;44;50;50;51;46;38;50;44;53;52;51;43;48;48;46;55;51;50;45;52;46;54;50;41;43;47;53;44;55;55;57;50;51;50;42;47;45;47;56;40;49;47;51;50;54;58;52;53;49;65;46;49;57;52;49;54;54;52;51;54;55;52;58;50;65;57;51;
77;73;66;69;72;76;69;72;68;68;69;69;71;70;63;70;72;72;64;66;69;71;71;72;67;64;61;62;61;61;65;58;60;57;58;58;74;64;63;65;64;62;61;64;71;62;66;60;58;66;62;72;60;61;66;54;57;64;61;66;48;62;56;59;58;63;64;61;61;76;67;61;64;67;61;66;65;71;67;71;62;62;63;65;67;64;62;55;54;46;54;54;60;59;56;48;57;59;55;62;69;63;60;66;72;60;69;56;63;61;60;55;53;51;59;60;53;50;60;55;62;54;53;62;64;64;68;62;65;56;60;55;62;68;64;54;60;54;59;56;56;58;58;53;54;54;56;59;52;58;58;51;57;53;55;52;51;74;50;50;62;64;57;52;56;55;46;57;58;54;56;54;50;52;59;62;44;50;51;52;54;66;60;56;59;51;51;51;59;57;52;55;52;50;62;56;52;50;56;55;51;66;45;57;55;59;58;63;63;59;66;60;60;61;60;46;58;65;67;63;57;52;57;50;54;65;70;59;60;59;55;65;64;55;62;70;60;67;56;64;73;64;65;66;61;64;64;61;64;56;68;53;50;63;59;67;63;63;58;59;58;65;71;66;54;63;62;60;61;61;59;58;65;59;59;59;61;52;58;55;63;55;64;61;52;64;72;58;62;61;52;60;62;57;56;61;66;59;58;66;56;55;63;56;60;58;50;57;58;64;62;58;60;60;64;57;57;57;62;59;60;54;56;51;65;56;49;63;47;48;53;49;62;62;59;63;62;58;60;54;62;62;66;67;67;64;54;50;63;62;54;56;59;57;57;56;54;56;62;59;51;59;62;56;59;61;58;57;54;61;51;61;60;57;64;52;48;65;53;61;45;58;52;56;47;59;57;48;54;56;51;52;56;58;57;63;50;57;59;53;50;46;49;53;55;66;49;54;56;56;58;56;61;54;57;49;60;57;62;54;45;65;59;50;58;49;55;59;44;58;65;53;54;54;54;52;58;54;54;54;54;46;39;57;47;55;46;50;43;55;46;47;37;53;43;46;44;40;49;48;45;50;53;54;51;45;50;48;53;44;48;52;45;50;53;54;53;49;52;45;53;56;60;52;55;64;52;53;56;52;50;58;47;57;49;47;44;49;46;56;45;40;46;43;45;51;48;50;49;47;50;46;54;50;47;52;50;54;51;56;49;50;49;43;60;48;46;53;57;50;47;54;45;59;51;44;50;49;45;48;53;50;47;49;46;39;56;45;48;52;44;41;47;39;45;46;44;40;51;39;54;59;42;45;42;52;54;48;53;49;43;50;47;39;53;40;49;41;50;46;44;47;52;47;45;42;46;52;43;52;42;45;47;41;44;45;55;44;47;44;42;46;43;44;58;46;46;57;48;47;49;62;56;46;48;54;42;55;42;53;55;44;52;52;52;53;56;56;54;61;48;50;48;50;54;51;52;57;59;63;
73;78;68;68;63;75;73;67;69;73;70;68;63;73;69;66;68;65;66;67;64;69;66;77;61;61;61;59;67;66;63;65;58;64;71;62;61;63;62;61;76;67;63;72;58;60;64;65;67;69;59;63;64;62;62;53;56;59;60;62;56;61;55;62;59;56;68;64;69;66;55;64;78;62;64;66;65;66;73;68;63;56;65;67;60;65;68;59;65;60;59;53;65;63;65;60;55;67;57;61;66;67;60;74;63;66;72;67;62;56;62;63;59;51;55;57;56;57;57;51;66;63;59;56;54;60;54;67;64;61;60;56;58;60;59;58;56;61;64;62;61;64;50;58;58;59;55;53;50;60;57;56;56;51;54;56;55;53;57;52;60;58;60;57;54;56;56;53;49;51;67;62;57;58;57;56;54;56;63;64;58;64;55;58;62;58;48;56;55;55;59;53;57;61;57;55;52;58;59;51;56;56;56;58;53;54;55;61;56;62;62;59;57;57;56;64;58;66;59;60;60;66;56;58;61;68;61;56;61;54;62;61;61;59;64;59;56;62;66;64;64;62;62;73;62;65;76;57;58;63;62;54;58;62;65;65;56;71;55;70;65;69;66;69;58;59;66;56;70;64;60;58;64;58;58;52;56;65;59;54;56;64;69;71;67;64;62;65;63;57;60;60;65;67;60;53;52;63;59;59;53;67;58;65;49;60;57;67;51;58;57;59;58;55;60;59;62;60;60;46;62;59;61;64;61;66;57;58;60;49;62;65;59;61;67;59;64;52;55;58;68;61;62;72;64;65;57;61;57;68;52;55;59;63;69;65;57;65;54;64;58;61;63;52;49;59;65;67;63;60;50;56;54;51;59;56;58;62;55;56;42;54;52;56;54;58;60;50;54;50;54;57;56;55;56;63;57;60;62;55;53;58;52;55;59;55;60;58;60;63;55;59;55;55;59;56;54;68;55;64;54;56;63;55;51;54;50;64;58;57;55;54;57;49;50;56;55;56;56;56;54;56;56;51;53;48;56;48;42;54;54;45;50;61;48;52;51;47;58;53;58;51;53;56;56;43;54;53;43;48;52;53;47;43;52;60;54;58;47;43;57;60;53;53;54;50;63;51;56;53;58;47;54;48;51;57;49;49;54;50;55;48;46;49;55;58;52;46;49;48;52;46;50;47;49;53;53;54;44;52;57;49;49;54;51;56;48;53;52;49;55;53;57;51;49;48;44;53;48;45;53;57;53;47;46;45;57;50;52;44;45;45;46;52;53;44;38;39;50;48;50;47;49;42;52;43;47;45;51;51;43;52;44;48;47;51;49;50;44;50;49;48;46;49;52;48;49;52;44;48;50;57;44;44;48;42;43;52;48;48;47;43;54;44;40;55;46;53;49;43;61;52;52;56;49;56;42;58;56;45;54;59;56;54;54;55;50;60;52;56;50;54;47;61;54;55;58;63;54;56;
72;66;71;65;72;65;73;72;73;71;67;74;66;70;62;65;76;60;72;68;58;60;62;61;72;63;58;67;57;72;70;64;62;61;56;67;53;60;56;55;65;56;67;63;60;61;59;64;56;66;62;65;70;62;54;67;59;57;61;58;61;55;52;59;56;56;64;65;60;61;58;61;57;67;64;62;61;67;60;67;60;69;65;68;59;60;60;51;64;49;60;62;61;58;59;60;54;54;64;60;66;61;56;63;65;63;58;62;54;58;60;68;48;57;49;61;59;56;60;56;55;51;58;55;58;45;57;57;58;51;50;53;60;53;50;64;49;55;59;62;56;56;57;58;59;60;49;51;47;55;50;59;49;47;52;65;50;54;52;52;58;61;56;62;52;60;52;64;59;49;44;55;62;56;49;61;56;62;61;56;59;57;55;57;48;53;55;59;47;54;54;59;52;44;55;59;56;51;52;57;54;55;54;54;55;53;54;62;60;65;58;55;58;53;59;56;53;57;58;57;64;59;53;59;64;51;60;60;60;56;60;64;58;63;55;71;59;60;64;61;61;64;69;64;56;61;65;62;57;64;52;58;53;57;61;60;64;58;65;60;64;59;60;65;69;52;61;65;59;61;62;61;56;50;52;60;62;52;62;62;62;64;61;63;64;63;54;58;59;65;54;59;60;55;53;71;61;55;60;60;61;63;55;57;56;60;55;57;61;50;64;55;55;52;60;51;55;64;61;52;58;54;57;58;50;62;50;60;62;50;61;62;57;54;59;64;60;61;59;56;68;51;60;59;65;69;56;63;64;59;65;61;57;59;55;61;55;57;65;60;58;57;51;58;59;59;54;64;53;66;59;58;55;57;61;50;47;59;57;58;54;49;51;52;51;55;57;46;56;52;50;52;52;54;53;51;63;57;48;50;54;60;55;56;59;57;51;51;51;51;58;52;51;49;59;62;51;62;55;61;54;54;51;57;61;54;56;52;56;59;50;58;50;54;52;56;42;58;52;50;54;47;41;48;53;53;45;57;50;57;53;49;50;47;48;50;49;55;45;50;52;50;54;58;48;53;48;53;50;45;44;50;46;60;45;53;58;55;48;52;58;45;48;60;50;56;54;60;35;56;50;59;46;44;60;51;52;50;58;54;49;52;56;46;44;54;49;39;45;52;45;51;44;63;50;48;55;49;38;46;48;50;46;52;56;52;41;50;59;47;41;53;42;54;49;51;50;47;44;49;37;47;48;45;53;45;43;48;47;41;50;40;46;44;53;44;43;40;38;40;41;49;42;44;43;43;49;54;36;51;49;49;43;38;41;58;45;43;42;50;45;51;44;52;52;43;57;49;48;57;39;48;48;48;50;42;36;48;47;49;43;43;45;44;50;49;39;50;53;52;56;43;55;41;51;50;46;56;58;54;56;49;53;42;54;46;46;60;59;60;53;47;60;47;61;57;55;53;54;57;
65;71;69;64;66;65;74;69;62;63;66;68;58;68;72;62;68;72;66;63;55;63;66;70;64;65;63;63;65;77;69;63;59;57;63;57;64;59;56;58;64;62;57;57;60;60;57;59;63;60;64;68;61;63;62;58;50;57;55;59;63;61;65;60;59;58;58;66;70;66;59;64;63;63;52;54;68;61;66;65;66;58;58;59;60;60;54;59;61;49;56;65;59;61;59;53;54;57;63;65;61;62;58;53;61;62;51;60;56;54;60;54;54;63;60;54;51;55;48;57;54;51;54;50;58;65;59;49;54;56;51;51;49;55;58;55;61;58;59;57;63;61;51;64;54;60;55;56;48;50;65;54;48;57;51;58;58;53;55;43;53;55;51;59;50;55;51;57;61;55;47;53;54;56;46;57;56;55;55;49;54;54;60;51;54;52;54;56;60;46;54;53;51;57;58;51;55;55;58;54;47;56;55;64;49;56;63;54;55;62;64;58;47;61;61;57;60;52;61;54;55;58;59;55;58;50;58;60;62;59;50;56;60;68;59;65;62;59;58;62;61;60;65;66;62;62;59;57;58;58;62;50;51;56;70;62;58;63;58;63;53;58;58;67;55;58;53;65;56;65;58;54;58;59;57;60;58;58;59;57;60;66;56;64;65;61;62;60;65;56;67;65;58;62;60;60;60;60;52;49;58;58;53;60;49;54;56;54;55;61;71;53;58;54;51;51;48;59;60;56;53;59;56;56;54;65;51;63;56;51;57;62;61;53;64;57;63;63;58;48;60;62;60;72;64;66;58;56;60;66;55;54;54;51;58;58;57;64;53;51;55;61;58;54;50;59;54;60;58;66;60;60;50;66;61;50;56;53;51;52;51;56;55;47;55;63;56;58;46;53;51;53;50;63;51;48;57;59;60;57;43;53;55;55;55;53;56;52;51;54;58;58;63;56;48;46;56;55;64;48;48;53;51;57;49;62;56;56;56;61;55;50;47;57;45;55;45;51;51;51;52;52;59;57;52;49;50;53;57;50;46;46;46;52;55;47;47;59;46;57;51;47;52;44;53;50;51;45;41;51;47;44;48;47;46;45;53;58;50;47;44;47;51;44;51;56;58;52;46;50;45;43;50;46;53;51;53;49;42;51;53;57;52;53;39;50;45;45;55;44;46;55;49;44;48;42;48;49;47;48;40;51;54;40;56;56;51;51;40;50;46;54;46;58;49;48;44;45;45;49;47;54;43;38;47;56;45;50;43;50;49;51;40;42;48;42;45;42;46;46;36;52;45;49;38;48;57;51;41;46;35;51;37;48;52;39;47;46;58;45;45;45;45;50;50;52;46;49;39;53;44;44;45;50;43;46;42;48;55;45;43;48;51;43;44;57;51;36;47;52;46;42;52;34;59;47;48;51;51;46;48;53;53;50;54;56;54;55;45;53;48;43;55;47;55;54;56;54;56;56;
71;70;71;73;59;71;69;65;69;74;63;71;67;73;70;72;72;65;66;69;66;62;64;61;62;61;63;61;63;72;77;63;62;54;67;59;64;54;59;59;64;62;55;65;51;63;62;56;59;57;63;70;62;58;59;54;61;54;57;64;57;57;61;61;60;64;65;60;66;63;74;66;66;61;58;65;61;69;74;69;60;65;65;66;61;61;61;64;56;57;54;58;54;58;55;53;57;57;63;63;66;63;59;59;60;59;71;51;64;52;60;55;51;66;58;57;56;53;52;60;55;54;61;53;61;56;55;53;50;59;57;57;54;58;54;57;59;53;59;58;54;60;61;60;64;60;65;54;54;59;58;53;57;57;61;63;48;61;58;50;56;62;58;57;54;64;57;53;57;56;55;53;54;50;56;52;63;57;60;56;57;63;59;59;59;51;58;54;57;52;54;57;55;57;56;52;55;58;59;57;53;56;56;56;56;50;61;55;58;54;53;59;60;54;64;60;58;59;51;54;55;54;61;60;58;55;57;63;58;55;64;71;61;59;65;61;60;54;57;66;55;61;65;56;61;63;59;55;62;61;63;54;58;64;62;61;55;65;61;64;62;62;67;68;64;58;59;56;66;53;65;56;57;64;60;52;60;62;57;51;51;63;65;62;57;68;60;60;53;70;63;64;56;57;65;56;65;57;58;58;57;60;61;58;52;50;59;52;65;59;61;63;60;47;58;54;50;55;57;57;56;60;50;54;61;59;62;57;57;66;56;55;56;56;70;50;57;64;54;62;64;61;61;58;61;66;62;55;64;59;56;66;56;60;52;60;58;58;51;60;57;60;54;51;56;59;54;61;70;61;65;66;61;60;59;61;55;60;66;61;57;51;55;54;52;54;55;55;53;51;55;59;61;58;45;58;58;56;56;60;66;61;50;51;62;54;63;52;48;57;56;56;46;62;61;48;52;59;53;55;55;60;65;63;61;60;47;63;56;59;58;58;55;54;52;50;49;58;49;57;54;54;61;45;41;50;51;49;49;46;52;50;41;53;46;46;55;46;47;54;48;50;52;41;55;45;58;44;45;46;53;45;51;49;55;49;58;47;53;51;47;47;49;44;60;49;53;51;46;46;46;48;50;54;52;55;57;46;58;50;48;56;49;46;49;56;51;47;58;48;48;53;46;50;43;50;58;56;57;56;56;45;53;55;49;48;51;40;42;48;49;50;53;50;49;48;50;43;44;50;45;40;50;54;43;58;52;39;44;47;38;47;45;36;41;48;48;38;38;41;42;44;37;46;51;39;47;46;52;43;45;48;52;46;43;37;47;46;50;47;53;46;50;41;61;44;40;52;42;52;40;47;45;43;44;42;47;43;43;54;46;42;42;52;43;52;45;59;48;48;51;49;47;51;56;51;45;50;50;53;46;49;52;51;46;55;50;53;45;58;46;47;53;51;53;57;54;57;54;59;
66;74;70;69;72;68;66;68;65;67;69;77;61;64;59;71;69;61;67;74;66;62;65;65;65;67;62;63;67;61;66;56;66;57;54;58;60;58;52;64;48;63;60;66;65;56;60;60;63;66;62;62;63;63;61;62;59;60;64;63;64;65;56;65;58;59;63;61;56;63;58;62;67;60;54;62;61;65;68;70;67;63;62;61;59;59;56;57;52;55;53;63;54;52;56;54;59;59;59;60;58;58;63;57;58;58;56;63;57;50;55;56;56;51;48;57;56;51;59;56;58;57;53;62;55;53;51;55;55;50;57;51;59;59;55;57;59;62;52;57;65;56;65;64;65;61;57;57;55;49;54;60;53;54;51;56;53;65;55;52;55;51;50;59;61;58;59;58;49;55;56;60;45;61;56;60;63;59;52;58;57;47;61;49;62;50;57;52;58;54;56;54;51;54;59;49;59;56;53;50;61;55;56;49;55;52;51;52;66;57;60;52;55;58;58;62;51;50;58;55;56;64;48;62;60;66;59;58;62;64;53;63;65;62;56;64;57;54;56;51;59;61;63;65;55;55;59;57;57;51;52;54;56;59;65;69;58;62;60;68;68;68;61;64;52;56;65;56;54;63;68;60;63;56;57;51;64;51;62;52;55;57;54;60;64;58;56;66;58;67;58;56;62;65;65;60;73;65;52;61;66;54;52;56;56;56;56;55;57;59;60;68;57;52;50;53;55;55;53;53;62;65;56;53;52;58;52;55;52;51;53;54;60;59;59;59;62;56;61;60;61;69;55;64;61;58;60;61;58;66;54;55;64;59;54;57;55;60;60;57;55;55;59;51;59;55;49;59;59;59;61;60;56;53;49;67;50;56;54;60;51;50;52;55;56;55;53;54;56;52;56;48;61;58;61;52;58;54;57;47;60;52;56;52;55;45;60;50;59;55;56;58;53;59;49;51;53;51;56;56;58;50;59;54;57;59;58;64;47;51;50;42;60;41;50;56;57;50;55;48;52;44;55;47;58;43;50;51;53;47;50;42;48;53;46;60;54;38;47;59;43;43;51;52;45;43;42;53;44;52;44;46;44;45;49;51;47;45;55;49;44;54;54;54;54;48;49;45;48;54;48;51;52;52;46;58;53;39;42;54;44;49;44;47;48;48;54;50;41;50;36;52;50;49;47;48;50;42;55;46;47;47;46;52;51;50;45;45;52;50;46;52;48;41;50;54;45;55;46;45;53;40;51;50;49;49;47;47;42;50;50;38;53;43;34;45;50;47;48;50;50;45;43;47;53;45;48;43;42;49;51;51;54;54;53;48;48;48;56;46;55;52;54;46;65;49;42;41;43;49;46;42;45;46;48;45;43;47;46;49;54;52;51;46;44;48;41;47;51;48;50;47;49;50;56;54;51;50;54;53;49;49;50;49;47;49;50;54;53;57;56;58;47;51;63;55;58;65;54;62;
62;73;68;66;75;65;69;66;67;69;75;70;62;66;67;64;67;67;58;61;62;64;62;62;70;66;63;71;60;62;62;63;61;63;56;61;60;58;65;59;61;65;62;56;60;59;57;60;63;65;68;56;68;55;58;60;62;60;63;60;53;62;56;60;62;63;63;59;61;58;62;64;60;62;62;61;50;64;58;63;64;55;59;61;61;63;54;57;63;58;61;57;55;54;54;63;59;57;56;54;54;57;59;54;51;60;54;54;51;54;53;50;53;58;64;53;63;58;62;51;53;62;54;50;54;61;55;51;60;53;57;56;56;53;51;56;59;64;62;59;56;67;56;64;53;58;66;58;59;54;53;57;53;63;51;55;58;65;54;55;51;56;59;50;60;56;64;54;47;49;53;44;53;42;66;52;49;52;54;62;56;49;51;60;57;56;53;45;52;52;48;54;55;53;50;51;54;54;55;50;49;50;50;48;60;54;52;56;47;53;56;62;56;66;57;56;52;55;64;50;61;62;54;49;59;61;52;58;61;68;66;64;51;53;53;56;54;63;59;56;52;53;66;61;55;50;57;61;55;61;58;54;54;59;60;56;72;57;58;56;61;60;64;53;62;57;63;61;63;57;60;47;61;51;58;63;56;63;62;59;54;64;61;59;65;65;64;62;58;58;62;61;70;67;66;59;64;56;51;58;54;62;58;55;55;50;61;55;65;62;61;55;49;57;66;57;55;52;58;59;55;57;69;52;55;58;66;49;55;59;58;49;55;53;60;63;50;67;65;53;64;62;66;62;53;53;70;54;58;64;57;66;56;53;61;57;47;57;53;53;62;58;56;50;53;58;66;57;55;60;62;60;53;56;64;47;54;58;58;44;56;59;60;53;54;60;53;59;54;55;46;53;57;61;50;54;52;52;56;49;59;57;50;56;56;46;56;52;48;53;55;57;50;55;57;55;50;53;49;60;56;47;53;55;51;58;55;63;46;58;57;53;41;55;48;48;58;44;50;51;48;44;50;54;55;51;54;50;45;48;46;49;47;49;46;51;41;45;54;49;56;54;50;52;41;40;42;47;46;45;47;56;48;54;40;51;44;59;46;45;45;52;47;51;55;45;50;39;43;57;49;49;48;49;46;43;50;46;48;54;49;43;53;48;52;48;54;41;48;44;47;54;48;43;61;41;51;42;41;42;46;52;45;51;48;59;37;45;53;42;43;45;46;50;52;46;38;50;44;47;48;38;51;38;52;55;45;48;42;51;46;44;49;45;50;45;44;47;50;42;49;45;45;43;49;51;39;41;46;50;46;51;52;44;46;42;40;49;49;52;39;48;51;50;45;53;43;49;42;50;50;43;34;51;44;49;46;44;54;35;44;45;50;44;47;50;48;51;39;50;53;51;51;55;55;44;51;49;45;49;54;51;48;52;49;52;63;47;46;55;55;50;56;55;58;65;50;49;59;61;
68;72;66;74;66;69;66;73;70;70;70;72;72;72;67;64;64;65;66;65;63;66;61;67;65;73;69;63;62;67;66;53;62;59;64;65;56;63;62;60;67;65;67;69;64;65;63;60;67;65;64;62;75;66;58;60;66;61;62;61;69;63;65;60;62;62;66;66;61;66;59;61;65;60;60;64;63;62;61;60;63;52;62;58;60;65;63;54;60;61;61;62;61;60;58;50;55;54;55;59;54;60;56;59;56;63;57;63;58;55;53;54;57;63;53;63;56;60;52;57;54;61;57;61;55;58;48;66;62;58;53;62;52;59;61;64;62;54;62;66;59;62;64;57;58;55;65;57;61;60;56;60;55;56;54;50;61;54;56;53;63;64;60;56;51;58;66;48;54;61;59;55;52;52;51;55;57;58;59;57;58;59;54;49;55;54;53;55;62;56;57;62;58;55;61;60;53;56;51;49;54;58;50;63;48;59;62;51;61;60;57;59;55;55;47;61;49;51;58;52;65;64;56;59;60;59;58;63;68;69;61;57;61;60;57;67;58;59;60;58;65;62;52;64;56;54;56;53;56;63;51;61;56;55;65;59;65;66;61;64;60;64;58;62;61;60;58;61;67;59;66;49;56;59;58;56;54;58;65;61;54;59;70;64;58;74;72;60;63;58;66;66;65;68;66;62;60;60;48;64;55;63;61;55;51;55;58;66;55;58;62;63;59;52;46;60;59;56;66;52;58;58;60;63;56;58;58;50;54;51;64;56;59;61;59;54;60;51;67;55;63;65;58;54;64;59;54;61;56;62;61;59;60;52;64;63;55;61;50;58;60;64;56;58;60;62;49;58;57;64;53;51;62;50;60;54;54;56;44;55;53;54;58;44;52;51;56;49;54;62;54;59;57;57;62;61;51;51;53;48;56;51;48;64;49;54;54;59;53;56;43;66;50;51;57;53;59;55;38;60;52;54;49;59;51;54;61;54;50;53;63;43;52;50;41;47;55;51;50;59;44;45;46;54;48;52;53;57;52;48;48;51;46;47;52;46;53;51;51;41;47;46;44;52;46;50;47;39;43;37;54;44;40;42;46;39;48;44;47;48;48;41;48;54;42;53;35;48;46;49;45;53;51;47;43;44;47;48;46;41;47;45;46;55;52;51;41;51;49;52;44;44;39;48;47;52;52;42;43;48;45;48;44;54;51;41;54;46;52;37;46;46;48;42;45;47;50;44;46;39;51;38;46;48;46;41;45;53;47;48;47;49;47;46;33;47;46;38;46;49;47;36;43;51;38;45;50;52;46;46;52;42;48;41;42;46;43;39;49;49;41;48;54;53;49;51;45;48;50;36;49;39;47;49;42;40;54;42;38;45;43;46;44;46;42;48;48;51;54;53;52;46;47;43;52;51;53;46;51;52;55;58;52;53;44;44;38;54;55;47;53;54;55;54;61;55;48;62;58;59;
71;66;69;66;67;68;65;73;65;74;69;64;74;67;75;59;66;65;63;66;54;64;60;64;66;62;65;62;71;61;64;64;61;59;55;57;56;60;58;61;58;55;65;56;61;64;58;66;63;70;62;66;56;65;67;62;62;59;65;66;57;69;53;55;60;48;61;60;53;62;63;67;64;59;59;59;58;62;64;62;63;60;54;64;65;60;54;59;59;59;59;60;60;69;56;58;53;55;51;53;54;54;62;56;63;57;56;61;60;61;57;52;55;55;56;54;58;55;57;61;59;55;63;59;55;59;56;47;63;58;57;55;54;62;46;55;59;59;59;55;59;58;57;62;61;52;52;61;44;65;63;57;62;57;51;50;60;52;53;61;60;55;63;59;47;53;61;60;48;61;57;55;48;55;60;57;68;44;59;64;63;59;54;53;54;52;59;53;60;58;57;56;60;52;63;58;58;52;54;51;57;51;51;50;64;53;55;54;55;55;55;61;56;62;50;66;50;57;58;68;64;61;58;55;55;56;60;67;57;59;63;66;55;54;54;58;52;64;60;59;62;64;63;60;60;63;63;62;54;58;65;50;64;64;50;63;59;65;53;51;64;58;53;61;60;65;63;52;61;49;59;67;55;50;55;61;53;58;53;55;64;56;64;58;59;64;66;58;62;59;61;59;57;58;56;67;65;63;62;54;62;62;61;53;57;61;60;63;61;53;54;57;51;60;49;52;57;56;56;56;61;58;53;67;53;62;66;51;61;56;50;54;57;51;57;55;55;57;63;52;58;63;52;57;68;55;60;51;64;58;55;63;55;67;58;58;55;56;59;56;60;58;60;54;55;59;57;57;53;59;55;56;62;50;61;51;45;56;47;56;44;56;56;53;55;50;57;55;56;61;53;58;61;47;61;44;56;57;55;57;56;52;62;60;49;56;58;53;51;50;55;53;51;50;54;60;51;55;48;56;56;49;59;51;58;59;55;54;53;56;59;53;48;47;52;47;59;46;50;48;54;52;48;50;54;46;55;45;60;49;48;49;50;55;55;42;57;49;45;44;47;52;53;52;58;43;51;47;54;43;50;53;47;53;54;47;49;44;43;38;51;53;52;46;55;49;42;49;47;46;48;65;51;47;40;48;50;54;49;46;53;58;50;58;49;43;43;52;41;43;48;47;52;42;52;53;45;52;47;54;46;56;50;51;52;48;50;41;54;49;44;54;45;58;52;49;41;45;47;51;48;53;43;47;39;44;51;44;47;43;46;63;52;44;50;42;43;43;53;41;49;44;46;42;49;51;50;46;50;53;44;48;48;41;50;47;42;45;48;45;48;53;54;50;44;43;56;43;37;52;47;54;43;50;42;46;47;48;46;42;49;41;51;45;47;49;48;52;56;47;52;48;54;46;56;43;44;53;57;51;59;52;55;53;53;52;52;50;46;46;57;47;55;47;56;55;52;56;52;54;
